"stasiun","pm10"
"DKI2 (Kelapa Gading)",38
"DKI3 (Jagakarsa)",58
"DKI3 (Jagakarsa)",64
"DKI2 (Kelapa Gading)",30
"DKI3 (Jagakarsa)",59
"DKI2 (Kelapa Gading)",48
"DKI2 (Kelapa Gading)",35
"DKI2 (Kelapa Gading)",38
"DKI2 (Kelapa Gading)",51
"DKI2 (Kelapa Gading)",24
"DKI2 (Kelapa Gading)",27
"DKI2 (Kelapa Gading)",33
"DKI3 (Jagakarsa)",29
"DKI3 (Jagakarsa)",24
"DKI3 (Jagakarsa)",70
"DKI2 (Kelapa Gading)",55
"DKI2 (Kelapa Gading)",35
"DKI2 (Kelapa Gading)",31
"DKI2 (Kelapa Gading)",42
"DKI2 (Kelapa Gading)",46
"DKI3 (Jagakarsa)",84
"DKI3 (Jagakarsa)",89
"DKI3 (Jagakarsa)",64
"DKI2 (Kelapa Gading)",62
"DKI3 (Jagakarsa)",54
"DKI2 (Kelapa Gading)",21
"DKI2 (Kelapa Gading)",28
"DKI2 (Kelapa Gading)",28
"DKI2 (Kelapa Gading)",27
"DKI2 (Kelapa Gading)",38
"DKI5 (Kebon Jeruk)",70
"DKI3 (Jagakarsa)",53
"DKI3 (Jagakarsa)",32
"DKI5 (Kebon Jeruk)",32
"DKI3 (Jagakarsa)",27
"DKI2 (Kelapa Gading)",30
"DKI2 (Kelapa Gading)",28
"DKI2 (Kelapa Gading)",26
"DKI4 (Lubang Buaya)",31
"DKI3 (Jagakarsa)",50
"DKI3 (Jagakarsa)",38
"DKI3 (Jagakarsa)",63
"DKI3 (Jagakarsa)",59
"DKI3 (Jagakarsa)",55
"DKI4 (Lubang Buaya)",42
"DKI4 (Lubang Buaya)",43
"DKI5 (Kebon Jeruk)",44
"DKI3 (Jagakarsa)",53
"DKI5 (Kebon Jeruk)",27
"DKI4 (Lubang Buaya)",33
"DKI5 (Kebon Jeruk)",29
"DKI3 (Jagakarsa)",68
"DKI3 (Jagakarsa)",66
"DKI4 (Lubang Buaya)",42
"DKI3 (Jagakarsa)",27
"DKI4 (Lubang Buaya)",48
"DKI4 (Lubang Buaya)",59
"DKI4 (Lubang Buaya)",68
"DKI3 (Jagakarsa)",62
"DKI4 (Lubang Buaya)",46
"DKI3 (Jagakarsa)",57
"DKI4 (Lubang Buaya)",62
"DKI2 (Kelapa Gading)",65
"DKI4 (Lubang Buaya)",61
"DKI5 (Kebon Jeruk)",59
