"Produksi Minyak Bumi dan Gas Alam, 1996-2023",,
,,
Tahun,Minyak Mentah dan Kondensat,Gas Alam
,,
,(000 barel),(MMscf)
1996," 548,648.3 "," 3,164,016.2 "
1997," 543,752.6 "," 3,166,034.9 "
1998," 534,892.0 "," 2,978,851.9 "
1999," 494,643.0 "," 3,068,349.1 "
2000," 484,393.3 "," 2,845,532.9 "
2001," 480,116.1 "," 3,762,828.5 "
2002," 397,308.5 "," 2,279,373.9 "
2003," 383,700.0 "," 2,142,605.0 "
2004," 404,992.9 "," 3,026,069.3 "
2005," 387,653.5 "," 2,985,341.0 "
2006," 357,477.4 "," 2,948,021.6 "
2007," 348,348.0 "," 2,805,540.3 "
2008," 358,718.7 "," 2,790,988.0 "
2009," 346,313.0 "," 2,887,892.2 "
2010," 344,888.0 "," 3,407,592.3 "
2011," 329,249.3 "," 3,256,378.9 "
2012," 314,665.9 "," 2,982,753.5 "
2013," 301,191.9 "," 2,969,210.8 "
2014," 287,902.2 "," 2,999,524.4 "
2015," 286,814.2 "," 2,948,365.8 "
2017," 292,373.8 "," 2,781,154.0 "
2018," 281,826.6 "," 2,833,783.5 "
2019," 273,494.8 "," 2,647,985.9 "
2020," 259,246.8 "," 2,442,830.7 "
2021," 240,324.5 "," 2,433,364.0 "
2022," 223,532.5 "," 1,962,929.0 "
2023*," 221,088.9 "," 2,420,059.5 "
,,
* Angka Sementara,,
